Seed,Algorithm,Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Size,Accuracy,Flips,FLOPS
2,AGEMOEA,2,1000,1,11,4,0.4,41,11,0.4,296,1,3,1,0.07746193848373491,6.013882909206063e-07,853.0,0.07694220356159832
2,AGEMOEA,2,1000,1,11,4,0.4,49,11,0.4,492,2,3,1,0.09546724905025065,0.9264862328698887,449.0,0.19675222847299279
2,AGEMOEA,4,5288,1,187,2,0.4,42,11,0.4,299,2,2,1,5.317528797362223,0.956959265463821,61.0,1.8586416778080121
2,AGEMOEA,2,1000,1,11,4,0.4,43,11,0.4,291,1,3,1,0.07718638478970724,0.8535782840850616,974.0,0.07485824655633094
2,AGEMOEA,2,1001,1,20,4,0.4,263,10,0.4,492,1,3,1,0.2129395830767709,0.9128055774918156,0.0,0.28118210130741456
2,AGEMOEA,2,1010,1,11,4,0.4,88,11,0.4,296,1,3,1,0.08219651379577345,5.057109986644983e-07,70.0,0.07860497137507579
2,AGEMOEA,2,1001,1,15,4,0.4,263,3,0.4,257,1,2,1,0.12989001151417942,0.8957510827244863,0.0,0.057953759968764396
2,AGEMOEA,2,1001,1,46,3,0.4,41,1,0.4,256,1,3,1,0.34753107113348636,0.9335732836627887,958.0,0.1383363041950212
2,AGEMOEA,2,1175,1,96,4,0.4,46,1,0.4,309,1,2,1,0.9512699772321801,0.9603875402068882,84.0,0.4345380515147529
2,AGEMOEA,4,7834,1,182,4,0.4,41,1,0.4,491,2,3,1,7.286569680073392,0.9665226373394814,459.0,4.227320988989544
2,AGEMOEA,2,1002,1,45,4,0.4,281,1,0.4,481,1,2,1,0.5072716536629608,0.9282165840875486,0.0,0.41845855479033855
2,AGEMOEA,2,1000,1,169,4,0.4,46,1,0.4,301,2,2,1,1.8431344619312804,0.9610541836220629,158.0,0.7724655166459394
2,AGEMOEA,2,7899,1,84,4,0.4,45,1,0.4,308,1,2,1,3.0664035702980326,0.9566584543622456,30.0,1.0672811750155442
2,AGEMOEA,2,1002,1,44,3,0.4,35,1,0.4,307,1,2,1,0.3460835568347397,0.9375936736362928,2345.0,0.17486732793221266
2,AGEMOEA,2,1000,1,11,3,0.4,42,11,0.4,308,1,2,1,0.07856143421643692,0.9255781375531974,44.0,0.08275407680726324
2,AGEMOEA,4,1002,1,166,4,0.4,45,2,0.4,490,2,2,1,2.1190171983452717,0.9671490851781858,480.0,1.7348142470693955
2,AGEMOEA,2,1003,1,110,4,0.4,282,11,0.4,492,1,3,1,1.421287803073335,0.95187932864389,0.0,1.2134606701478792
2,AGEMOEA,2,1003,1,101,3,0.4,42,1,0.4,495,1,3,1,1.0926629856300274,0.9620677535793639,425.0,0.9315548385641004
2,AGEMOEA,2,1017,1,44,4,0.4,34,1,0.4,301,2,3,1,0.3463267622785991,0.9370651437073455,2383.0,0.17021082118316166
2,AGEMOEA,2,2368,1,16,4,0.4,42,2,0.4,310,1,3,1,0.20399068371937948,0.9299646577723989,31.0,0.09551656607164526
2,AGEMOEA,4,11018,1,190,3,0.4,46,10,0.4,299,1,3,1,9.780403537504446,0.9595433556840816,0.0,3.194761462620933
2,AGEMOEA,2,1000,1,11,4,0.4,39,11,0.4,257,1,3,1,0.07442595892657235,0.9115146622987451,3136.0,0.06421734715237791
2,AGEMOEA,4,1002,1,166,4,0.4,45,1,0.4,471,2,2,1,2.0939827903541066,0.9671490851781858,558.0,1.6184250985578597
2,AGEMOEA,2,1000,1,81,4,0.4,45,1,0.4,468,1,2,1,0.8194436722349295,0.9601624301850288,487.0,0.6661006887793132
2,AGEMOEA,2,2475,1,11,4,0.4,270,11,0.4,309,1,3,1,0.16463743126982436,0.9069492049120627,40.0,0.11113373247207478
2,AGEMOEA,2,7899,1,72,4,0.4,45,1,0.4,308,1,2,1,2.6075169251122796,0.9488161710889189,30.0,0.9094944987088296
2,AGEMOEA,2,1010,1,16,4,0.4,43,1,0.4,491,1,3,1,0.1403920327383469,0.9310025722635752,410.0,0.14101990535152867
2,AGEMOEA,2,5113,1,44,3,0.4,46,1,0.4,311,1,2,1,1.0753045952651685,0.9400425991212432,29.0,0.4050593038480751
